BLE1,BLE2,BLE3,BLE4,PosX,PosY
-76,-80,-76,-73,4.3049,2.571178
-76,-79,-74,-72,4.432527,2.946773
-77,-79,-74,-73,4.423169,3.199476
-77,-79,-74,-72,4.286523,3.190113
-76,-80,-74,-73,4.569173,2.956136
-76,-80,-74,-72,4.432527,2.946773
-76,-80,-75,-71,4.205083,2.767796
-76,-79,-74,-73,4.569173,2.956136
-70,-80,-81,-79,5.055752,0.3234
-69,-80,-80,-78,5.102022,0.352819
-69,-80,-81,-78,5.102022,0.352819
-70,-80,-81,-78,5.055752,0.383665
-67,-80,-81,-78,5.169022,0.308152
-68,-80,-80,-78,5.139181,0.328046
-70,-79,-80,-78,4.641104,0.220338
-65,-80,-81,-79,5.212234,0.427721
-68,-79,-81,-78,4.724533,0.275957
-68,-80,-80,-79,5.139181,0.379019
-69,-80,-80,-78,5.102022,0.352819
-68,-79,-81,-79,4.724533,0.983022
-69,-80,-80,-78,5.102022,0.352819
-69,-79,-81,-78,4.687374,0.251185
-69,-80,-81,-79,5.102022,0.354246
-69,-80,-80,-79,5.102022,0.354246
-69,-80,-81,-79,5.102022,0.354246
-69,-79,-81,-79,4.687374,0.958249
-69,-79,-81,-79,4.687374,0.958249
-69,-79,-81,-78,4.687374,0.251185
-69,-80,-81,-78,5.102022,0.352819
-70,-80,-80,-79,5.055752,0.3234
-70,-79,-81,-78,4.641104,0.220338
-66,-80,-80,-78,5.192988,0.292175
-68,-80,-80,-79,5.139181,0.379019
-67,-80,-81,-79,5.169022,0.398913
-67,-79,-80,-78,4.754374,0.295851
-69,-80,-80,-78,5.102022,0.352819
-69,-80,-80,-79,5.102022,0.354246
-69,-79,-81,-79,4.687374,0.958249
-68,-79,-81,-78,4.724533,0.275957
-69,-80,-81,-79,5.102022,0.354246
-68,-80,-81,-78,5.139181,0.328046
-68,-79,-81,-78,4.724533,0.275957
-67,-79,-80,-79,4.754374,1.002916
-67,-79,-81,-78,4.754374,0.295851
-69,-80,-81,-79,5.102022,0.354246
-67,-80,-80,-79,5.169022,0.398913
-67,-80,-80,-78,5.169022,0.308152
-70,-79,-80,-78,4.641104,0.220338
-70,-80,-78,-77,5.305204,1.314868
-71,-80,-78,-76,4.937527,1.357639
-70,-80,-79,-76,4.693718,0.880156
-73,-80,-79,-76,4.545046,1.127943
-73,-80,-79,-77,4.873555,1.150452
-69,-80,-78,-77,5.33666,1.262442
-73,-79,-79,-76,4.545046,1.127943
-72,-80,-79,-76,4.605777,1.026724
-71,-79,-78,-77,5.266036,1.380148
-72,-80,-79,-77,4.934286,1.049233
-69,-80,-79,-77,5.053683,0.850239
-72,-79,-79,-76,4.605777,1.026724
-70,-80,-79,-76,4.693718,0.880156
-71,-79,-78,-76,4.937527,1.357639
-72,-80,-79,-76,4.605777,1.026724
-71,-80,-79,-76,4.65455,0.945436
-73,-80,-79,-76,4.545046,1.127943
-71,-79,-79,-76,4.65455,0.945436
-72,-79,-79,-76,4.605777,1.026724
-67,-79,-78,-76,5.053699,1.164018
-68,-80,-78,-77,5.361921,1.220339
-70,-80,-79,-76,4.693718,0.880156
-73,-79,-78,-76,4.828023,1.540146
-73,-80,-79,-76,4.545046,1.127943
-71,-80,-79,-77,4.983059,0.967945
-73,-80,-78,-77,5.156532,1.562655
-71,-79,-79,-77,4.983059,0.967945
-72,-80,-79,-77,4.934286,1.049233
-68,-80,-79,-76,4.750435,0.785627
-69,-79,-78,-77,5.33666,1.262442
-73,-79,-79,-77,4.873555,1.150452
-69,-80,-79,-77,5.053683,0.850239
-73,-80,-78,-76,4.828023,1.540146
-73,-79,-78,-77,5.156532,1.562655
-73,-79,-79,-77,4.873555,1.150452
-71,-79,-78,-76,4.937527,1.357639
-72,-80,-78,-77,5.217263,1.461436
-71,-80,-78,-77,5.266036,1.380148
-72,-80,-79,-77,4.934286,1.049233
-72,-79,-79,-77,4.934286,1.049233
-71,-80,-76,-75,5.083465,1.936446
-73,-80,-76,-76,5.237783,2.137029
-73,-80,-76,-76,5.237783,2.137029
-73,-80,-77,-76,5.055278,1.87118
-72,-80,-76,-75,5.034693,2.017733
-71,-81,-77,-74,4.68909,1.65608
-72,-81,-77,-75,4.852188,1.751885
-74,-81,-77,-74,4.503964,1.964624
-72,-81,-76,-76,5.298514,2.03581
-71,-80,-77,-76,5.164781,1.688674
-72,-81,-76,-75,5.034693,2.017733
-71,-80,-77,-76,5.164781,1.688674
-73,-81,-76,-75,4.973962,2.118952
-71,-81,-76,-75,5.083465,1.936446
-72,-80,-77,-76,5.116009,1.769961
-73,-80,-77,-76,5.055278,1.87118
-73,-80,-77,-76,5.055278,1.87118
-74,-80,-77,-76,4.979655,1.997217
-71,-81,-76,-76,5.347286,1.954523
-73,-80,-76,-76,5.237783,2.137029
-71,-80,-76,-76,5.347286,1.954523
-72,-81,-76,-76,5.298514,2.03581
-74,-81,-77,-76,4.979655,1.997217
-73,-81,-76,-76,5.237783,2.137029
-73,-81,-77,-74,4.579586,1.838586
-74,-81,-76,-74,4.686469,2.230473
-73,-81,-76,-76,5.237783,2.137029
-71,-80,-76,-74,4.871595,1.921929
-74,-80,-77,-75,4.715834,1.979141
-72,-81,-76,-75,5.034693,2.017733
-71,-81,-76,-74,4.871595,1.921929
-72,-80,-77,-76,5.116009,1.769961
